,House,Price,Ubication,Features
24,Casa En Venta De Recuperacion Bancaria En Maciso Tibesti. Laab1,"600,000","Sierra Morena, Loma Ix, San Pedro Martir, Loma IX, Querétaro, QuerétaroVer información de la zona","['Superficie total110 m²', 'Superficie construida170 m²', 'Recámaras3', 'Baños2', 'Estacionamientos0', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
25,"Casa De Recuperación Bancaria Adjudicada En Calle Sierra Morena, Cond. Leon, Loma 9, Querétaro. ¡no Créditos!","616,701","Av. De La Cantera 2800-int 35, Ciudad del Sol, Querétaro, QuerétaroVer información de la zona","['Superficie total54 m²', 'Superficie construida47 m²', 'Recámaras1', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad2,009 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento100 MXN']"
26,"Excelente Oportunidad, Casa En Venta En Ciudad Del Sol, Queretaro","1,730,000","Loma Linda, Querétaro, México, Loma Linda, Querétaro, Querétaro","['Superficie total129 m²', 'Superficie construida117 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí']"
27,"Inversión Segura, Venta De Remate En Loma Linda Queretaro_rx","845,962","Cda. Punta Mita 111, Juriquilla, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total98 m²', 'Superficie construida98 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad18 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaDúplex', 'OrientaciónPoniente']"
28,"¡¡jb-hermosa Casa En Juriquilla Queretaro, Gran Oportunidad De Remate!!","849,000","Santa Monica 2da Sección, Santa Mónica 2a Secc., Querétaro, QuerétaroVer información de la zona","['Superficie total192 m²', 'Superficie construida192 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad7 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1,000 MXN']"
29,"Venta De Casa En Queretaro , Santa Monica, Queretaro","3,300,000","Sisal, El Refugio Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total100 m²', 'Superficie construida100 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónSur']"
30,"Casa En Remate Bancario En Santiago De Querétaro, Querétaro Mm","709,200","Paseo Real 1 - 300, El Refugio Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total75 m²', 'Superficie construida60 m²', 'Recámaras3', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
31,Casa En Venta En El Refugio Querétaro Con Buenos Acabados.,"5,250,000","Misión Mariana, Candiles, Querétaro, QuerétaroVer información de la zona","['Superficie total133.69 m²', 'Superficie construida239.51 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad3 años', 'Cantidad de pisos3', 'Tipo de casaCasa']"
32,"Casa De Oportunidad! Colonia Mision Mariana Candiles Queretaro, Pago De Contado!","900,000","Cerro Loreto, Colinas Del Cimatario, Querétaro, QuerétaroVer información de la zona","['Superficie total90 m²', 'Superficie construida90 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes15', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
33,"Gran Oportunidad Casa En Venta En Cerro Loreto, Colinas Del Cimatario, Santiago De Querétaro, Querétaro, México. Cmr","990,000","Paseos De San Miguel, Querétaro, QuerétaroVer información de la zona","['Superficie total150 m²', 'Superficie construida275 m²', 'Recámaras4', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
34,"Casa En Venta En Puertas De San Miguel, Queretaro, En Condominio","1,250,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total79 m²', 'Superficie construida81 m²', 'Recámaras3', 'Baños1', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
35,Casa En Privada Con Amenidades Y Seguridad En Milenio Iii,"3,200,000","Granada 402, Los Sauces, Querétaro, QuerétaroVer información de la zona","['Superficie total150 m²', 'Superficie construida170 m²', 'Recámaras3', 'Baños2', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
36,Invierte En Tu Futuro Remate Judicial En Los Sauces Queretaro,"1,320,000","Buena Vista, Vista 2000, Querétaro, QuerétaroVer información de la zona","['Superficie total130 m²', 'Superficie construida145 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes15', 'Bodegas1', 'Cantidad de pisos2']"
37,"Casa De Recuperación Bancaria Adjudicada, En Buenavista, Vista 2000, Santiago De Querétaro. ¡no Créditos!","893,000","Petra De Mallorca 43a, Bosques Del Acueducto, Querétaro, QuerétaroVer información de la zona","['Superficie total125 m²', 'Superficie construida112 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento500 MXN']"
38,"Casa En Venta, Recuperación Bancaria, Col. Bosques Del Acuaducto, Santiago De Queretaro, Queretaro. Jf08","2,692,579","C. 3 144, Los Comerciantes, Querétaro, QuerétaroVer información de la zona","['Superficie total362 m²', 'Superficie construida444 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad24 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento100 MXN']"
39,"Casa En Remate Bancario En Querétaro, Querétaro M*","500,000","Lago Yalahan 237, Juriquilla Santa Fe, Querétaro, QuerétaroVer información de la zona","['Superficie total280 m²', 'Superficie construida130 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad25 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
