,House,Price,Ubication,Features
34,Vive De Vacaciones- Taray Royal Club,"3,100,000","Juriquilla Santa Fe, Juriquilla Santa Fe, Querétaro, QuerétaroVer información de la zona","['Superficie total135 m²', 'Superficie construida184 m²', 'Ambientes6', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
35,"Casa En Venta En Santa Fe Juriquilla, Dentro De Privada","3,940,000","Jurica, Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total274 m²', 'Superficie construida158 m²', 'Ambientes6', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Depósitos0', 'Antigüedad14 años', 'Mantenimiento0 MXN']"
36,Distribuida Mayormente En Una Planta- Jurica,"10,500,000","Pedregal De Schoenstatt, Otros, Corregidora, QuerétaroVer información de la zona","['Superficie total830 m²', 'Superficie construida466 m²', 'Ambientes10', 'Recámaras4', 'Baños6', 'Estacionamientos4', 'Depósitos0', 'Antigüedad7 años', 'Mantenimiento0 MXN']"
37,Acceso A Roof Con Vista- Pedregal De Schoenstatt,"2,975,000","Lago De Juriquilla, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total114 m²', 'Superficie construida138 m²', 'Ambientes6', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
38,Casa Ensueño- Juriquilla,"6,977,606","Lomas De Juriquilla, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total253 m²', 'Superficie construida258 m²', 'Ambientes8', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
39,Habitación Planta Baja- Lomas De Juriquilla,"6,200,000","Altozano, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total251 m²', 'Superficie construida279 m²', 'Ambientes9', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
40,El Lujo Que Mereces- Altozano,"7,020,000","Zibatá, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total200 m²', 'Superficie construida270 m²', 'Ambientes7', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
41,Diseño Distintivo- Zibatá,"5,125,000","Residencial El Refugio, Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total132 m²', 'Superficie construida241 m²', 'Ambientes8', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
42,Tu Nuevo Hogar- Residencial El Refugio,"5,290,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total164 m²', 'Superficie construida200 m²', 'Ambientes6', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
43,"Casa En Venta En Altozano, Dentro De Condominio, Con Alta Pl","6,970,000","Altozano, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total200 m²', 'Superficie construida280 m²', 'Ambientes7', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
44,"Exclusiva Casa En Venta En Altozano, Dentro De Condominio, C","8,162,000","Lomas Del Campanario Norte, El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total200 m²', 'Superficie construida270 m²', 'Ambientes7', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
45,Iluminación Y Amplitud- Lomas Del Campanario Norte,"8,162,000","La Espiga, Fray Junípero Serra, Querétaro, QuerétaroVer información de la zona","['Superficie total235 m²', 'Superficie construida274 m²', 'Ambientes9', 'Recámaras3', 'Baños5', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
46,Diseño Distintivo- La Espiga,"8,500,000","Mirador De Las Ranas, El Mirador, El Marqués, QuerétaroVer información de la zona","['Superficie total323 m²', 'Superficie construida272 m²', 'Ambientes7', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
47,"Estrena Casa En Zona El Mirador, 3 Niveles, Alberca, Segurid","2,475,000",,"['Superficie total92 m²', 'Superficie construida137 m²', 'Ambientes6', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
