Price,Ubication,Total_Area_m^2,Built_Area_m^2,Bedrooms,Bathrooms,Parking,Neighborhood
3300000,"Juriquilla, Queretaro, Queretaro",145,121,3,2,2,JURIQUILLA
3750000,Residencial El Refugio,123,223,3,2,2,EL REFUGIO
3690000,Residencial El Refugio,128,166,3,2,2,EL REFUGIO
2385000,"Fracc. Sonterra, Queretaro, Queretaro",107,163,3,2,2,SONTERRA
3300000,El Marques Queretano,108,92,3,2,2,EL MARQUES QUERETANO
3300000,"Juriquilla, Queretaro, Queretaro",128,118,3,2,2,JURIQUILLA
1413200,"Lago Yalahan 237, Cumbres Del Lago",250,320,4,3,2,CUMBRES DEL LAGO
26500000,El Campanario,725,564,4,5,7,EL CAMPANARIO
7750000,La Vista Residencial,183,250,3,4,2,LA VISTA RESIDENCIAL
21800000,Paseos Del Pedregal,556,522,4,5,4,PASEOS DEL PEDREGAL
12600000,Paseos Del Pedregal,303,372,3,3,3,PASEOS DEL PEDREGAL
4950000,La Vista Residencial,180,215,3,3,2,LA VISTA RESIDENCIAL
5772000,Juriquilla,225,248,4,4,3,JURIQUILLA
11790000,Paseos Del Pedregal,264,343,4,5,3,PASEOS DEL PEDREGAL
9300000,La Vista Residencial,246,374,4,6,3,LA VISTA RESIDENCIAL
3850000,Calesa 2a Seccion,160,188,4,2,3,CALESA 2A SECCION
4750000,"Casa En Venta En Los Robles Zibata Ii (casa Encino), Queretaro, Queretaro",182,0,3,3,2,LOS ROBLES
17950000,Alamos 1a Seccion,538,900,4,5,2,ALAMOS 1
4975000,Juriquilla,264,239,3,3,2,JURIQUILLA
7800000,"Casa En Venta En Cumbres Del Lago Juriquilla (nueva)., Cumbres Del Lago, Queretaro, Queretaro",480,0,4,4,6,JURIQUILLA
21800000,Casa En Venta En Altozano,556,0,4,4,4,ALTOZANO
12390000,"Casa En Venta En La Vista Residencial, La Vista Residencial",405,0,4,4,3,LA VISTA RESIDENCIAL
11790000,Casa En Venta En Altozano En Condominio Fogata,343,0,4,4,3,ALTOZANO
3000000,Fray Junipero Serra,185,134,3,2,2,FRAY JUNIPERO SERRA
4900000,"Casa En Venta En Los Robles Zibata Ii (casa Olivo), Queretaro, Queretaro",189,0,4,3,2,LOS ROBLES
5550000,Cumbres Del Lago,312,323,3,4,0,CUMBRES DEL LAGO
5900000,Corregidora,200,297,3,2,3,CORREGIDORA
22000000,Casa En Venta En Centro Queretaro Gis 25-704,751,751,5,4,7,CENTRO
3400000,Cuesta Bonita,187,240,3,3,2,CUESTA BONITA
5650000,La Condesa,285,317,4,4,3,LA CONDESA
3300000,"Paso De Los Toros 1481, El Refugio, , El Refugio Residencial",178,178,3,2,2,EL REFUGIO
3300000,"Sendero De La Espuela 27, Lomas De Carretas",130,240,4,4,2,CARRETAS
4999999,"Cumbres Del Lago, Queretaro, Queretaro",300,330,3,4,3,CUMBRES DEL LAGO
974000,"Parque Cimatario, El Garambullo",102,102,3,2,2,CIMATARIO
974001,"Garambullo, Valle De Santiago, , Santiago",102,102,3,2,2,VALLE DE SANTIAGO
849000,"Lago Chacamax 110, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",360,360,4,4,3,JURIQUILLA
849000,"Lago Yalahan 240, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",340,340,4,4,4,JURIQUILLA
849000,"Lago Yalahan 198, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",360,360,3,2,2,JURIQUILLA
849000,"De La Mesa 205, Villas Del Meson, Juriquilla, Villas Del Meson",300,300,4,3,3,VILLAS DEL MESON
3300000,"Juriquilla, Queretaro, Queretaro",147,144,3,2,2,JURIQUILLA
16150000,Paseos Del Pedregal,479,403,4,5,3,PASEOS DEL PEDREGAL
11790000,"Montes Blancos, Cumbres De Juriquilla, Juriquilla",264,343,4,4,3,JURIQUILLA
3000000,"1a Cda. De Altozano, Altozano el Nuevo Queretaro",126,147,3,2,0,ALTOZANO
10120000,Paseos Del Pedregal,300,370,3,4,3,PASEOS DEL PEDREGAL
13750000,Fray Junipero Serra,465,425,4,3,3,FRAY JUNIPERO SERRA
8750000,"Lago Yuriria 303, Cumbres Del Lago, Juriquilla, Cumbres Del Lago",323,277,4,5,4,JURIQUILLA
849000,"Blvrd Peña Flor, Ciudad Del Sol, , Ciudad del Sol",340,340,4,4,2,CIUDAD DEL SOL
1350000,"Lago Cuitzeo 202, Cumbres Del Lago, Juriquilla, Cumbres Del Lago, Queretaro, Queretaro",75,75,3,2,2,JURIQUILLA
749000,"Lago Patzcuaro, Cumbres Del Lago, Juriquilla, Juriquilla, Queretaro, Queretaro",317,317,4,3,2,JURIQUILLA
1350000,", Ciudad del Sol",317,300,3,1,2,CIUDAD DEL SOL
1350000,"Av. Mirador De Las Ranas, El Mirador, El Mirador",75,75,3,2,1,EL MIRADOR
