Price,Total_Area_m^2,Built_Area_m^2,Bedrooms,Bathrooms,Parking,Neighborhood
849000.0,340.0,340.0,4.0,4.0,4.0,JURIQUILLA
849000.0,360.0,360.0,3.0,2.0,2.0,JURIQUILLA
849000.0,300.0,300.0,4.0,3.0,3.0,VILLAS DEL MESON
3300000.0,147.0,144.0,3.0,2.0,2.0,JURIQUILLA
16150000.0,479.0,403.0,4.0,5.0,3.0,PASEOS DEL PEDREGAL
11790000.0,343.0,264.0,4.0,4.0,3.0,JURIQUILLA
3000000.0,147.0,126.0,3.0,2.0,0.0,ALTOZANO
10120000.0,370.0,300.0,3.0,4.0,3.0,PASEOS DEL PEDREGAL
13750000.0,465.0,425.0,4.0,3.0,3.0,FRAY JUNIPERO SERRA
8750000.0,323.0,277.0,4.0,5.0,4.0,JURIQUILLA
849000.0,340.0,340.0,4.0,4.0,2.0,CIUDAD DEL SOL
1350000.0,75.0,75.0,3.0,2.0,2.0,JURIQUILLA
749000.0,317.0,317.0,4.0,3.0,2.0,JURIQUILLA
1350000.0,317.0,300.0,3.0,1.0,2.0,CIUDAD DEL SOL
1350000.0,75.0,75.0,3.0,2.0,1.0,EL MIRADOR
1900000.0,123.0,123.0,3.0,1.0,1.0,SAN JOSE EL ALTO
930000.0,117.0,117.0,3.0,1.0,1.0,PASEOS DEL PEDREGAL
5970000.0,220.0,180.0,4.0,4.0,2.0,MILENIO III
4400000.0,274.0,198.0,5.0,4.0,2.0,EL REFUGIO
2700000.0,127.0,113.0,3.0,2.0,2.0,MILENIO III
4500000.0,232.0,192.0,2.0,3.0,2.0,PASEOS DEL PEDREGAL
11790000.0,343.0,264.0,4.0,4.0,3.0,FRAY JUNIPERO SERRA
6750000.0,235.0,185.0,3.0,4.0,2.0,EL MIRADOR
3850000.0,174.0,128.0,4.0,3.0,2.0,EL MARQUES
3300000.0,121.0,113.0,3.0,2.0,2.0,GALINDAS RESIDENCIAL
3800000.0,181.0,160.0,4.0,3.0,2.0,CIUDAD DEL SOL
1350000.0,125.0,75.0,3.0,2.0,1.0,EL MIRADOR
1370000.0,123.0,123.0,3.0,1.0,2.0,LAS FUENTES
1300000.0,56.0,28.0,2.0,1.0,1.0,MILENIO III
1520000.0,75.8,75.8,2.0,2.0,1.0,LOMAS DE JURIQUILLA
3300000.0,410.0,250.0,4.0,5.0,3.0,VALLE DE JURIQUILLA
4490000.0,225.0,160.0,3.0,3.0,2.0,JURICA
3750000.0,170.0,163.0,3.0,2.0,2.0,SANTA FE
4300000.0,294.0,294.0,3.0,3.0,3.0,EL REFUGIO
3190000.0,254.0,148.0,3.0,2.0,2.0,MILENIO III
530000.0,310.0,230.0,4.0,2.0,2.0,JURIQUILLA
640000.0,400.0,400.0,6.0,4.0,3.0,JURICA
705000.0,440.0,350.0,4.0,3.0,2.0,SAN ISIDRO
2490000.0,128.05,118.0,3.0,2.0,2.0,EL CAMPANARIO
4660000.0,278.88,230.3,3.0,3.0,2.0,REAL DE JURIQUILLA (DIAMANTE)
5000000.0,276.69,240.07,3.0,2.0,2.0,LA VISTA RESIDENCIAL
4680000.0,239.0,200.0,3.0,2.0,2.0,BALCONES DEL ACUEDUCTO
5400000.0,250.13,234.22,3.0,2.0,2.0,EL REFUGIO
6350000.0,310.0,254.96,3.0,2.0,2.0,EL REFUGIO
750000.0,200.0,200.0,200.0,3.0,4.0,COLINAS DEL CIMATARIO
699000.0,230.0,230.0,4.0,2.0,2.0,SANTIAGO
650000.0,500.0,500.0,5.0,4.0,4.0,VILLAS DEL MESON
890000.0,450.0,400.0,4.0,2.0,2.0,JURIQUILLA
708500.0,150.0,150.0,4.0,3.0,2.0,LA CAMPANA
750000.0,375.0,375.0,5.0,4.0,2.0,JURIQUILLA
