Unnamed: 0,House,Price,Ubication,Features
4,"Casa Con Diseño De Autor En Lomas De Juriquilla, 3 Niveles, 5 Recamaras, Lujo!","7,950,000","Cumbres del Cimatario, Querétaro, QuerétaroVer información de la zona","['Superficie total251 m²', 'Superficie construida431 m²', 'Recámaras5', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes11', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
5,"Preciosa Residencia En Cumbres Del Cimatario, 4 Niveles, Sótano, Jardín, Ctosev","6,250,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total300 m²', 'Superficie construida435 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
6,"Residencia En Milenio Iii, Garage 4 Autos, Bar, Jardín, Jacuzzi, Cto Serv, Lujo","8,500,000","Lomas de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total385 m²', 'Superficie construida730 m²', 'Recámaras4', 'Baños5', 'Estacionamientos4', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
7,"Residencia De Autor En Lomas De Juriquilla, Doble Altura, 4ta Recamara En Pb..","5,200,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida300 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
8,"Venta Casas, Altozano Querétaro, Cond. Rio, Qro76. $16.1 Md","16,150,000","P.º Cta. Bonita 70, Cuesta Bonita, Querétaro, QuerétaroVer información de la zona","['Superficie total450 m²', 'Superficie construida1 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
9,"Lc8 Casa, Colonia Cuesta Bonita, Querétaro, Querétaro.","607,929","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total100 m²', 'Superficie construida130 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento600 MXN']"
10,"Preciosa Residencia En Milenio, Roof Garden, Hermosa Vista, 4 Recamaras, Jardín.","3,780,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total166 m²', 'Superficie construida251 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
11,"Hermosa Casa Con Vista Espectacular En El Refugio, 4 Recamaras, Calidad De Vida!","7,850,000","Juriquilla, Querétaro, Querétaro","['no disponible', 'no disponible']"
12,"Estrena Casa En Juriquilla, San Isidro, Hermoso Diseño, Calidad De Vida.","3,300,000","Fracc. Sonterra, Querétaro, Querétaro","['Superficie total140 m²', 'Superficie construida178 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
13,"Se Vende Casa En Sonterra, 3 Recamaras, Una En Pb, Terraza Tipo Roof,  3.5 Baños","2,490,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total128 m²', 'Superficie construida124 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
14,"Preciosa Casa En Milenio Iii, C.223 M2, T.203 M2, 3 Recamaras, Jardín..","2,420,000","Residencial Parque La Gloria, Querétaro, QuerétaroVer información de la zona","['Superficie total111 m²', 'Superficie construida127 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
15,Casa En Venta En Haceinda La Gloria,"3,400,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total203 m²', 'Superficie construida223 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
